Movie,Year,Ratings,Genre,Gross,Budget,Screens,Sequel,Sentiment,Views,Likes,Dislikes,Comments,Aggregate Followers
Blended,2014.0,6.5,Adventure,46300000.0,40000000.0,3555.0,1.0,-2.0,7977747.0,18690.0,1940.0,2214.0,2417000.0
Boyhood,2014.0,8.0,Romance,25400000.0,4000000.0,771.0,1.0,9.0,1671367.0,4572.0,207.0,741.0,105000.0
Brick Mansions,2014.0,5.7,Comedy,20300000.0,28000000.0,2647.0,1.0,0.0,2088644.0,6633.0,255.0,1235.0,3209000.0
Cake,2014.0,6.5,Romance,1870000.0,7000000.0,482.0,1.0,2.0,4398243.0,9202.0,454.0,1150.0,4769100.0
Camp X-Ray,2014.0,7.0,Romance,9840.0,1000000.0,2777.0,1.0,3.0,7128.0,1.0,0.0,0.0,2182.0
Cantinflas,2014.0,6.7,Animation,6370000.0,3000000.0,382.0,1.0,3.0,2902492.0,9522.0,558.0,2296.0,1052600.0
Captain America: The Winter Soldier,2014.0,7.8,Comedy,260000000.0,170000000.0,3938.0,2.0,5.0,760262.0,2918.0,66.0,837.0,8030000.0
Dawn of the Planet of the Apes,2014.0,7.7,Comedy,209000000.0,170000000.0,3967.0,2.0,-4.0,1735700.0,6772.0,187.0,889.0,114000.0
Deliver Us from Evil,2014.0,6.2,Documentary,30500000.0,30000000.0,97.0,1.0,0.0,465219.0,1348.0,72.0,162.0,744600.0
Divergent,2014.0,6.8,Drama,151000000.0,85000000.0,3936.0,1.0,-4.0,463866.0,3400.0,152.0,987.0,1030000.0
Dolphin Tale 2,2014.0,6.4,Romance,42000000.0,36000000.0,3376.0,2.0,-1.0,384448.0,1230.0,129.0,228.0,276750.0
Dracula Untold,2014.0,6.3,Comedy,55900000.0,70000000.0,2777.0,1.0,0.0,9149892.0,26427.0,1342.0,5278.0,395500.0
Draft Day,2014.0,6.8,Romance,28800000.0,27000000.0,2781.0,1.0,0.0,522630.0,1248.0,153.0,227.0,147000.0
Dumb and Dumber To,2014.0,5.8,Adventure,86200000.0,35000000.0,3154.0,3.0,0.0,3287020.0,7698.0,446.0,1122.0,17064000.0
Earth to Echo,2014.0,5.8,Drama,38900000.0,13000000.0,3230.0,1.0,0.0,1488038.0,2571.0,553.0,643.0,88586.0
Edge of Tomorrow,2014.0,7.9,Comedy,100000000.0,178000000.0,3490.0,1.0,0.0,15568277.0,29251.0,1730.0,6439.0,5610000.0
Endless Love,2014.0,6.3,Romance,23400000.0,20000000.0,2800.0,1.0,1.0,11850723.0,24226.0,1343.0,2577.0,21500.0
Falcon Rising,2014.0,5.7,Comedy,8690.0,4500000.0,2777.0,1.0,0.0,735551.0,636.0,98.0,92.0,1060000.0
Foxcatcher,2014.0,7.1,Animation,1210000.0,24000000.0,66.0,1.0,6.0,6685088.0,8369.0,467.0,1580.0,13720000.0
Fury,2014.0,7.6,Comedy,85700000.0,68000000.0,3313.0,1.0,3.0,2276605.0,3946.0,331.0,1286.0,1888000.0
God Help the Girl,2014.0,6.4,Romance,102000.0,1850000.0,8.0,1.0,-4.0,1034480.0,6490.0,181.0,374.0,66600.0
God's Not Dead,2014.0,5.0,Romance,60800000.0,2000000.0,780.0,1.0,0.0,456564.0,1706.0,413.0,890.0,412000.0
God's Pocket,2014.0,6.1,Documentary,104000.0,1000000.0,3.0,1.0,0.0,99427.0,47.0,10.0,12.0,1052600.0
Godzilla,2014.0,6.5,Comedy,201000000.0,160000000.0,3952.0,1.0,2.0,1156609.0,2968.0,112.0,547.0,1870000.0
Gone Girl,2014.0,8.2,Romance,168000000.0,61000000.0,3014.0,1.0,-11.0,396010.0,1390.0,58.0,342.0,20640000.0
Guardians of the Galaxy,2014.0,8.1,Comedy,333000000.0,170000000.0,4080.0,1.0,0.0,1313548.0,8567.0,269.0,1285.0,2750000.0
Happy Christmas,2014.0,5.6,Adventure,30100.0,70000.0,9.0,1.0,0.0,924347.0,1406.0,107.0,132.0,5887700.0
Heaven Is for Real,2014.0,5.8,Romance,91400000.0,12000000.0,2417.0,1.0,-9.0,175017.0,461.0,34.0,133.0,1052600.0
Hercules,2014.0,6.1,Comedy,72700000.0,100000000.0,3595.0,1.0,-2.0,9324678.0,15479.0,1130.0,3925.0,9414000.0
Horrible Bosses 2,2014.0,6.3,Adventure,54400000.0,42000000.0,93.0,2.0,-1.0,1292235.0,5284.0,124.0,362.0,1650000.0
How to Train Your Dragon 2,2014.0,7.9,Mystery,177000000.0,145000000.0,4253.0,2.0,3.0,11472161.0,22779.0,862.0,2863.0,671000.0
If I Stay,2014.0,6.8,Romance,50500000.0,11000000.0,1272.0,1.0,14.0,9222933.0,41728.0,924.0,3609.0,1800000.0
In the Name of My Daughter,2014.0,6.1,Romance,275000.0,8932779.93,6.0,1.0,0.0,8210.0,6.0,0.0,0.0,58900.0
Inherent Vice,2014.0,6.7,Adventure,8090000.0,20000000.0,645.0,1.0,1.0,1167941.0,2651.0,82.0,797.0,1052600.0
Interstellar,2014.0,8.7,Drama,188000000.0,165000000.0,3561.0,1.0,2.0,5421705.0,16635.0,751.0,4316.0,1865000.0
Into the Storm,2014.0,5.8,Comedy,47600000.0,50000000.0,3434.0,1.0,0.0,4270410.0,8886.0,569.0,3058.0,301000.0
Into the Woods,2014.0,6.0,Drama,128000000.0,50000000.0,2440.0,1.0,-4.0,817242.0,4391.0,112.0,346.0,4720000.0
Jack Ryan: Shadow Recruit,2014.0,6.2,Comedy,50500000.0,60000000.0,3387.0,5.0,4.0,3320754.0,4322.0,347.0,1105.0,147000.0
Jersey Boys,2014.0,6.9,Animation,47000000.0,40000000.0,2905.0,1.0,10.0,1438350.0,4028.0,133.0,543.0,27323.0
John Wick,2014.0,7.2,Comedy,43000000.0,20000000.0,2589.0,1.0,0.0,4846645.0,14722.0,405.0,2732.0,1052600.0
Kill the Messenger,2014.0,7.0,Animation,2450000.0,5000000.0,374.0,1.0,0.0,3650720.0,6917.0,234.0,1119.0,1045200.0
Kingsman: The Secret Service,2014.0,7.8,Comedy,128000000.0,81000000.0,3204.0,1.0,0.0,2767873.0,46023.0,944.0,6946.0,5407000.0
Kung Fu Jungle,2014.0,6.5,Comedy,129000.0,25000000.0,28.0,1.0,-2.0,289922.0,143.0,17.0,9.0,1052600.0
Left Behind,2014.0,3.1,Comedy,14000000.0,16000000.0,1825.0,1.0,0.0,5611593.0,11187.0,2111.0,7595.0,116800.0
Let's Be Cops,2014.0,6.5,Adventure,82400000.0,17000000.0,1534.0,1.0,-5.0,4450824.0,7315.0,546.0,909.0,2356000.0
Life After Beth,2014.0,5.7,Adventure,8300.0,2400000.0,2777.0,1.0,0.0,1222921.0,5553.0,193.0,335.0,1463000.0
Locker 13,2014.0,4.8,Fantasy,2470.0,300000.0,3.0,1.0,0.0,30529.0,18.0,4.0,2.0,18100.0
Lucy,2014.0,6.4,Comedy,127000000.0,40000000.0,3173.0,1.0,1.0,1142964.0,2346.0,167.0,311.0,1052600.0
Maleficent,2014.0,7.0,Comedy,241000000.0,180000000.0,3948.0,1.0,0.0,557012.0,3528.0,135.0,464.0,5633.0
Maps to the Stars,2014.0,6.3,Adventure,348000.0,15000000.0,66.0,1.0,0.0,177465.0,595.0,39.0,71.0,644000.0
Million Dollar Arm,2014.0,7.1,Animation,36400000.0,25000000.0,3019.0,1.0,27.0,1470438.0,4314.0,168.0,511.0,130000.0
Moms' Night Out,2014.0,5.4,Adventure,10400000.0,5000000.0,1044.0,1.0,0.0,667852.0,469.0,38.0,44.0,919000.0
Mr. Peabody & Sherman,2014.0,6.9,Mystery,112000000.0,145000000.0,3934.0,1.0,13.0,277848.0,890.0,45.0,88.0,8839043.0
Muppets Most Wanted,2014.0,6.5,Drama,51200000.0,50000000.0,3194.0,3.0,-1.0,3037329.0,6696.0,564.0,1061.0,9850000.0
My Old Lady,2014.0,6.3,Adventure,4010000.0,5000000.0,255.0,1.0,0.0,446576.0,659.0,50.0,45.0,1052600.0
Need for Speed,2014.0,6.6,Comedy,43600000.0,66000000.0,3115.0,1.0,5.0,1451649.0,7342.0,533.0,2305.0,2594000.0
Neighbors,2014.0,6.4,Adventure,150000000.0,18000000.0,3279.0,1.0,2.0,2554307.0,8722.0,298.0,693.0,14240000.0
Night at the Museum: Secret of the Tomb,2014.0,6.3,Drama,114000000.0,127000000.0,22.0,3.0,2.0,3779254.0,13535.0,362.0,1221.0,6480000.0
Nightcrawler,2014.0,7.9,Documentary,32300000.0,8500000.0,2766.0,1.0,-1.0,6082510.0,12522.0,543.0,2170.0,1052600.0
No Good Deed,2014.0,5.6,Documentary,52500000.0,13200000.0,2130.0,1.0,0.0,608230.0,895.0,118.0,387.0,1550500.0
Noah,2014.0,5.9,Comedy,101000000.0,125000000.0,3567.0,1.0,6.0,13661095.0,41254.0,3812.0,18077.0,1810000.0
Non-Stop,2014.0,7.0,Comedy,91400000.0,50000000.0,3090.0,1.0,0.0,367551.0,700.0,19.0,37.0,648786.0
Not Cool,2014.0,5.2,Adventure,35700.0,600000.0,2777.0,1.0,0.0,5403836.0,187162.0,3145.0,24919.0,2720000.0
Paddington,2014.0,7.2,Adventure,76100000.0,55000000.0,3303.0,1.0,14.0,2028767.0,3829.0,500.0,665.0,124000.0
Penguins of Madagascar,2014.0,6.8,Mystery,83300000.0,132000000.0,32.0,1.0,8.0,1223790.0,2934.0,123.0,226.0,47200.0
Planes: Fire & Rescue,2014.0,5.9,Mystery,59200000.0,50000000.0,3826.0,3.0,0.0,2117798.0,2124.0,485.0,626.0,3603000.0
Pompeii,2014.0,5.6,Comedy,23200000.0,100000000.0,2658.0,1.0,0.0,355563.0,1568.0,106.0,267.0,370000.0
Ride Along,2014.0,6.1,Comedy,134000000.0,25000000.0,2663.0,1.0,0.0,8429023.0,27484.0,977.0,2195.0,21586000.0
Rio 2,2014.0,6.4,Mystery,132000000.0,103000000.0,3948.0,2.0,4.0,3849768.0,9783.0,704.0,1151.0,154400.0
RoboCop,2014.0,6.2,Comedy,58600000.0,100000000.0,3372.0,1.0,7.0,3305047.0,11733.0,1077.0,4319.0,250000.0
Rosewater,2014.0,6.6,Animation,3090000.0,5000000.0,371.0,1.0,1.0,909596.0,2214.0,186.0,632.0,1052600.0
Rudderless,2014.0,7.5,Adventure,37400.0,5000000.0,2777.0,1.0,0.0,827239.0,3221.0,89.0,432.0,217000.0
Sabotage,2014.0,5.7,Comedy,10500000.0,35000000.0,2486.0,1.0,17.0,3466458.0,6096.0,411.0,977.0,3678000.0
Selma,2014.0,7.5,Animation,52100000.0,20000000.0,2179.0,1.0,-5.0,3743181.0,16782.0,565.0,4973.0,9224.0
Serena,2014.0,5.4,Romance,176000.0,30000000.0,59.0,1.0,0.0,3726728.0,6221.0,405.0,1074.0,1052600.0
Seventh Son,2014.0,5.5,Comedy,17200000.0,95000000.0,2875.0,1.0,0.0,23360.0,36.0,5.0,5.0,804300.0
Sex Tape,2014.0,5.1,Adventure,38500000.0,40000000.0,3062.0,1.0,0.0,2757667.0,3030.0,418.0,251.0,4521000.0
Sin City: A Dame to Kill For,2014.0,6.6,Documentary,13800000.0,65000000.0,2894.0,2.0,0.0,5223362.0,18770.0,627.0,2796.0,8620000.0
Son of God,2014.0,5.5,Animation,59700000.0,22000000.0,3260.0,1.0,2.0,943306.0,3006.0,325.0,1401.0,3185900.0
Song One,2014.0,5.8,Romance,20200.0,6000000.0,27.0,1.0,0.0,2426078.0,9230.0,184.0,373.0,33500.0
St. Vincent,2014.0,7.3,Adventure,44100000.0,13000000.0,18.0,1.0,20.0,4176181.0,9463.0,310.0,885.0,269849.0
Taken 3,2014.0,6.1,Comedy,89300000.0,48000000.0,21.0,3.0,6.0,1544390.0,2975.0,136.0,380.0,216000.0
Tammy,2014.0,4.8,Adventure,84500000.0,20000000.0,3465.0,1.0,0.0,3429055.0,7682.0,675.0,727.0,727000.0
Teenage Mutant Ninja Turtles,2014.0,5.9,Comedy,191000000.0,125000000.0,3845.0,1.0,0.0,7908038.0,27312.0,3439.0,8533.0,1260000.0
That Awkward Moment,2014.0,6.1,Adventure,26000000.0,8000000.0,2809.0,1.0,0.0,6132551.0,14539.0,653.0,846.0,11783000.0
The Admiral,2014.0,7.1,Drama,2590000.0,9500000.0,1586.0,1.0,3.0,134353.0,280.0,43.0,308.0,1052600.0
The Amazing Spider-Man 2,2014.0,6.8,Comedy,203000000.0,200000000.0,4324.0,2.0,6.0,386857.0,4996.0,233.0,864.0,4520000.0
The Babadook,2014.0,6.9,Romance,924000.0,2000000.0,147.0,1.0,-3.0,6501107.0,14139.0,890.0,2928.0,1052600.0
The Best of Me,2014.0,6.6,Romance,26800000.0,26000000.0,8.0,1.0,3.0,5546710.0,15351.0,535.0,1271.0,48231.0
The Book of Life,2014.0,7.3,Mystery,50200000.0,50000000.0,12.0,1.0,9.0,5165441.0,17476.0,871.0,3229.0,10364000.0
The Boxtrolls,2014.0,6.8,Mystery,50800000.0,60000000.0,3464.0,1.0,5.0,2545852.0,3964.0,378.0,554.0,1280000.0
The Devil's Hand,2014.0,4.8,Fantasy,4240.0,7000000.0,2777.0,1.0,0.0,330363.0,406.0,52.0,92.0,1052600.0
The Drop,2014.0,7.1,Documentary,10700000.0,12600000.0,809.0,1.0,-1.0,2897407.0,5953.0,153.0,569.0,1052600.0
The Equalizer,2014.0,7.2,Comedy,102000000.0,55000000.0,3236.0,1.0,0.0,7075635.0,15858.0,574.0,1966.0,1800000.0
The Expendables 3,2014.0,6.1,Comedy,39300000.0,90000000.0,90.0,3.0,0.0,14453673.0,33092.0,1336.0,5005.0,1480000.0
The Fault in Our Stars,2014.0,7.9,Romance,125000000.0,12000000.0,3173.0,1.0,7.0,32626778.0,370552.0,4752.0,38363.0,4240000.0
The Fluffy Movie: Unity Through Laughter,2014.0,7.0,Adventure,2820000.0,28000000.0,432.0,1.0,0.0,10747.0,4.0,1.0,1.0,818000.0
The Gambler,2014.0,6.1,Documentary,33600000.0,25000000.0,103.0,1.0,-2.0,4790221.0,4740.0,454.0,773.0,2740000.0
The Giver,2014.0,6.5,Romance,45100000.0,25000000.0,702.0,1.0,6.0,523457.0,2187.0,149.0,565.0,184100.0
The Good Lie,2014.0,7.4,Romance,2720000.0,20000000.0,461.0,1.0,10.0,1303646.0,3306.0,211.0,564.0,759800.0
The Hobbit: The Battle of the Five Armies,2014.0,7.5,Drama,255000000.0,250000000.0,3875.0,6.0,3.0,3554189.0,14152.0,262.0,1782.0,2613000.0
The Homesman,2014.0,6.6,Romance,2430000.0,16000000.0,4.0,1.0,2.0,26528.0,58.0,1.0,8.0,25748.0
The Hundred-Foot Journey,2014.0,7.3,Adventure,54200000.0,22000000.0,2023.0,1.0,11.0,24809.0,277.0,12.0,52.0,20700.0
The Hunger Games: Mockingjay - Part 1,2014.0,6.8,Drama,337000000.0,125000000.0,4151.0,3.0,2.0,3305417.0,14684.0,332.0,1176.0,31030000.0
The Identical,2014.0,5.0,Romance,2820000.0,12000000.0,2777.0,1.0,0.0,309610.0,729.0,97.0,113.0,275873.0
The Imitation Game,2014.0,8.1,Animation,91100000.0,14000000.0,747.0,1.0,9.0,3047849.0,11748.0,253.0,1237.0,1052600.0
The Interview,2014.0,6.7,Comedy,6110000.0,44000000.0,78.0,1.0,0.0,6231191.0,13331.0,1265.0,3430.0,6619435.0
The Judge,2014.0,7.5,Documentary,47100000.0,50000000.0,3003.0,1.0,2.0,1325872.0,4829.0,104.0,378.0,5563500.0
The Legend of Hercules,2014.0,4.2,Comedy,18800000.0,70000000.0,2104.0,1.0,0.0,797229.0,1606.0,630.0,456.0,1174806.0
The Lego Movie,2014.0,7.8,Mystery,258000000.0,60000000.0,3775.0,1.0,-2.0,439159.0,1847.0,105.0,289.0,4690000.0
The Loft,2014.0,6.3,Science Fiction,5980000.0,14000000.0,1841.0,1.0,2.0,381071.0,238.0,27.0,43.0,14586.0
The Maze Runner,2014.0,6.8,Comedy,102000000.0,34000000.0,173.0,1.0,2.0,3156436.0,18124.0,213.0,2753.0,4734000.0
The Monuments Men,2014.0,6.1,Romance,78000000.0,70000000.0,3083.0,1.0,0.0,10649.0,21.0,1.0,0.0,3849.0
The November Man,2014.0,6.3,Comedy,25000000.0,15000000.0,2776.0,1.0,0.0,1935432.0,3089.0,155.0,567.0,148000.0
The Nut Job,2014.0,5.8,Mystery,64200000.0,42000000.0,3427.0,1.0,0.0,2269032.0,3046.0,546.0,554.0,1052600.0
The One I Love,2014.0,7.1,Adventure,512000.0,100000.0,20.0,1.0,2.0,1223891.0,1309.0,148.0,239.0,226000.0
The Other Woman,2014.0,6.0,Adventure,83900000.0,40000000.0,3205.0,1.0,-1.0,8479994.0,35071.0,2233.0,3479.0,2731000.0
The Purge: Anarchy,2014.0,6.5,Comedy,71500000.0,9000000.0,2805.0,2.0,-3.0,1142295.0,3895.0,193.0,882.0,49424.0
The Rover,2014.0,6.4,Documentary,1110000.0,12250000.0,5.0,1.0,0.0,702.0,1.0,0.0,1.0,9842.0
The Salvation,2014.0,6.8,Romance,5000.0,11712310.56,2.0,1.0,0.0,253631.0,170.0,11.0,58.0,1052600.0
The Theory of Everything,2014.0,7.8,Animation,35900000.0,15000000.0,15.0,1.0,8.0,3226251.0,18240.0,261.0,2104.0,8204.0
The Water Diviner,2014.0,7.2,Romance,4190000.0,22500000.0,320.0,1.0,7.0,3281842.0,4968.0,445.0,2099.0,1899400.0
The Woman in Black 2: Angel of Death,2014.0,4.9,Romance,26500000.0,1000000.0,2602.0,2.0,-6.0,698.0,16.0,1.0,9.0,3086.0
Think Like a Man Too,2014.0,5.7,Adventure,65200000.0,24000000.0,2225.0,2.0,0.0,2063089.0,5858.0,336.0,346.0,24388000.0
Transcendence,2014.0,6.3,Romance,23000000.0,100000000.0,3455.0,1.0,0.0,14141585.0,36646.0,1459.0,6811.0,5987.0
Transformers: Age of Extinction,2014.0,5.8,Comedy,245000000.0,210000000.0,4233.0,4.0,0.0,170909.0,791.0,362.0,230.0,2814900.0
Tusk,2014.0,5.4,Adventure,1820000.0,2800000.0,449.0,1.0,0.0,473100.0,670.0,104.0,380.0,180100.0
Unbroken,2014.0,7.2,Animation,116000000.0,65000000.0,3131.0,1.0,0.0,6637551.0,19833.0,815.0,3403.0,269000.0
Veronica Mars,2014.0,6.8,Documentary,3320000.0,6000000.0,291.0,1.0,10.0,476747.0,2079.0,166.0,232.0,2536000.0
When the Game Stands Tall,2014.0,6.6,Romance,30100000.0,15000000.0,794.0,1.0,0.0,280566.0,477.0,56.0,82.0,585000.0
Whiplash,2014.0,8.6,Romance,13100000.0,3300000.0,42.0,1.0,2.0,7750223.0,17541.0,631.0,2760.0,858000.0
White God,2014.0,6.9,Romance,280000.0,2487820.27,2.0,1.0,11.0,166612.0,571.0,36.0,70.0,1052600.0
Wild,2014.0,7.2,Drama,37900000.0,15000000.0,1061.0,1.0,0.0,5976092.0,9343.0,649.0,1333.0,781200.0
Wild Tales,2014.0,8.2,Adventure,3080000.0,3300000.0,4.0,1.0,7.0,697105.0,1023.0,39.0,429.0,1052600.0
Winter's Tale,2014.0,6.2,Romance,22500.0,60000000.0,2965.0,1.0,0.0,719976.0,1312.0,76.0,189.0,1810000.0
Wish I Was Here,2014.0,6.7,Adventure,3590000.0,6000000.0,68.0,1.0,0.0,865690.0,1375.0,79.0,67.0,1818778.0
X-Men: Days of Future Past,2014.0,8.1,Comedy,234000000.0,200000000.0,3996.0,7.0,3.0,2285.0,9.0,0.0,1.0,10280000.0
Yves Saint Laurent,2014.0,6.2,Animation,717000.0,12000000.0,2.0,1.0,0.0,550734.0,894.0,44.0,77.0,168700.0
Jurassic World,2015.0,7.3,Comedy,643000000.0,150000000.0,4274.0,4.0,1.0,9143740.0,34746.0,1074.0,5107.0,6180000.0
Avengers: Age of Ultron,2015.0,7.8,Comedy,458000000.0,250000000.0,4276.0,2.0,21.0,10366624.0,31552.0,989.0,3843.0,10070000.0
Furious 7,2015.0,7.4,Comedy,350000000.0,190000000.0,4004.0,7.0,-17.0,59056.0,330.0,8.0,39.0,11890000.0
Inside Out,2015.0,8.6,Mystery,345000000.0,175000000.0,3946.0,1.0,2.0,1438926.0,4632.0,262.0,496.0,232000.0
Minions,2015.0,6.6,Comedy,325000000.0,74000000.0,4301.0,2.0,-2.0,1341909.0,1607.0,764.0,48.0,250000.0
Pitch Perfect 2,2015.0,6.7,Adventure,183000000.0,29000000.0,3473.0,2.0,1.0,9214467.0,39824.0,998.0,1987.0,7336000.0
Mission: Impossible - Rogue Nation,2015.0,7.8,Romance,171000000.0,150000000.0,3956.0,5.0,3.0,8748596.0,20352.0,649.0,1842.0,6605000.0
Home,2015.0,6.7,Adventure,177000000.0,135000000.0,3708.0,1.0,-2.0,10341783.0,24413.0,1675.0,3426.0,5070000.0
Fifty Shades of Grey,2015.0,4.2,Romance,166000000.0,40000000.0,3646.0,1.0,9.0,31859569.0,49900.0,13960.0,9119.0,946000.0
The SpongeBob Movie: Sponge Out of Water,2015.0,6.1,Adventure,162000000.0,74000000.0,3641.0,2.0,0.0,5536822.0,29411.0,1840.0,1281.0,184000.0
San Andreas,2015.0,6.4,Comedy,154000000.0,110000000.0,3777.0,1.0,3.0,12632836.0,36508.0,2210.0,7559.0,9737600.0
Mad Max: Fury Road,2015.0,8.3,Comedy,153000000.0,150000000.0,3702.0,4.0,-4.0,2732371.0,13030.0,497.0,1774.0,768700.0
Straight Outta Compton,2015.0,8.3,Animation,135000000.0,28000000.0,2757.0,1.0,5.0,848970.0,12607.0,237.0,1560.0,55618.0
Insurgent,2015.0,6.4,Drama,130000000.0,110000000.0,3875.0,2.0,-6.0,2834800.0,5664.0,5746.0,66.0,4240000.0
Spy,2015.0,7.3,Comedy,110000000.0,65000000.0,3711.0,1.0,0.0,6649290.0,20750.0,750.0,1666.0,265000.0
Trainwreck,2015.0,6.7,Mystery,105000000.0,35000000.0,3158.0,1.0,1.0,9511288.0,19903.0,2581.0,2955.0,2014000.0
Tomorrowland,2015.0,6.6,Mystery,93200000.0,190000000.0,3972.0,1.0,1.0,999867.0,4212.0,66.0,250.0,1198000.0
Get Hard,2015.0,6.1,Adventure,90400000.0,40000000.0,3175.0,1.0,6.0,10078326.0,26565.0,1418.0,2395.0,2939000.0
Terminator Genisys,2015.0,6.8,Comedy,89400000.0,155000000.0,3758.0,5.0,1.0,84870.0,265.0,13.0,63.0,3877901.0
Ted 2,2015.0,6.6,Adventure,81300000.0,68000000.0,3442.0,2.0,5.0,6711914.0,29903.0,984.0,1767.0,10988000.0
Paul Blart: Mall Cop 2,2015.0,4.3,Comedy,71000000.0,30000000.0,90.0,2.0,15.0,2389347.0,8809.0,935.0,892.0,1618000.0
Pixels,2015.0,5.6,Comedy,71000000.0,88000000.0,3723.0,1.0,10.0,5340100.0,26134.0,2007.0,3717.0,2466000.0
Magic Mike XXL,2015.0,6.2,Adventure,65900000.0,14800000.0,3355.0,2.0,7.0,5128288.0,18475.0,858.0,1579.0,8392000.0
The Wedding Ringer,2015.0,6.7,Adventure,64500000.0,23000000.0,3003.0,1.0,-8.0,4826940.0,10521.0,478.0,755.0,2284000.0
Vacation,2015.0,6.3,Drama,54900000.0,31000000.0,3411.0,5.0,13.0,2554327.0,10062.0,464.0,871.0,2347000.0
Fantastic Four,2015.0,4.0,Comedy,52700000.0,120000000.0,3995.0,1.0,20.0,7560211.0,24168.0,3524.0,7139.0,881000.0
Jupiter Ascending,2015.0,5.5,Comedy,47400000.0,176000000.0,3181.0,1.0,0.0,3920842.0,10535.0,565.0,1668.0,7460000.0
The Age of Adaline,2015.0,7.3,Romance,42500000.0,25000000.0,2991.0,1.0,11.0,11036701.0,50002.0,1005.0,3525.0,776000.0
Max,2015.0,7.0,Comedy,41900000.0,20000000.0,2855.0,1.0,0.0,2947239.0,19201.0,625.0,1842.0,2113.0
The Longest Ride,2015.0,7.2,Romance,37400000.0,34000000.0,3366.0,1.0,19.0,2393017.0,13291.0,369.0,584.0,324925.0
The Gift,2015.0,7.6,Comedy,36100000.0,5000000.0,1648.0,1.0,11.0,2513544.0,6970.0,270.0,1105.0,1655987.0
The Boy Next Door,2015.0,4.6,Science Fiction,35400000.0,4000000.0,2602.0,1.0,16.0,5588384.0,15144.0,913.0,1499.0,4599000.0
Hot Pursuit,2015.0,5.0,Comedy,34500000.0,35000000.0,3003.0,1.0,2.0,6964819.0,26601.0,1111.0,1293.0,1630000.0
The DUFF,2015.0,6.6,Adventure,34000000.0,8500000.0,2575.0,1.0,2.0,12792898.0,56001.0,2083.0,4102.0,6714000.0
Woman in Gold,2015.0,7.4,Documentary,33300000.0,11000000.0,258.0,1.0,19.0,6495.0,82.0,3.0,7.0,675000.0
Entourage,2015.0,7.1,Romance,32400000.0,30000000.0,3108.0,1.0,6.0,1841293.0,5879.0,314.0,634.0,788000.0
Paper Towns,2015.0,6.9,Romance,31400000.0,12000000.0,3031.0,1.0,6.0,2854910.0,23254.0,459.0,1087.0,4184000.0
